Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,55,12,1140,6.2,12.8,0.485,0.9,3.4,0.269,5.3,9.3,0.564,2.7,3.9,0.702,3.2,7.2,10.4,1.6,1,0.9,1.9,3.2,16,achiupr01
2,Steven Adams,C,29,MEM,42,42,1133,5,8.4,0.597,0,0,0,5,8.3,0.599,1.5,4.1,0.364,6.8,8.6,15.4,3.1,1.1,1.5,2.5,3.1,11.5,adamsst01
3,Bam Adebayo,C,25,MIA,75,75,2598,8.3,15.4,0.54,0,0.2,0.083,8.3,15.3,0.545,4.5,5.6,0.806,2.5,7,9.5,3.3,1.2,0.8,2.6,2.9,21.2,adebaba01
4,Ochai Agbaji,SG,22,UTA,59,22,1209,4.9,11.5,0.427,2.4,6.8,0.355,2.5,4.7,0.532,1.7,2.1,0.812,1.3,2.3,3.6,2,0.5,0.4,1.2,2.9,13.9,agbajoc01
5,Santi Aldama,PF,22,MEM,77,20,1682,5.3,11.2,0.47,2,5.7,0.353,3.3,5.5,0.591,2.3,3.1,0.75,1.8,6.1,7.9,2.1,1,1,1.3,3.1,14.9,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,5.3,12,0.444,2.5,6.5,0.384,2.9,5.5,0.515,1.6,2.4,0.667,0.6,3.5,4.1,4.4,1.3,0.9,2.2,3.6,14.8,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,5.7,11.6,0.488,2.4,5.9,0.402,3.3,5.7,0.578,1.8,2.7,0.692,0.5,3.5,4,5.2,1.6,1,3.1,4,15.5,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,356,4.9,12.6,0.384,2.6,7.3,0.361,2.2,5.4,0.415,1.3,2.1,0.619,0.7,3.5,4.2,3.2,0.8,0.7,1,3,13.7,alexani01
7,Grayson Allen,SG,27,MIL,72,70,1972,4.5,10.2,0.44,2.7,6.7,0.399,1.8,3.5,0.518,2.1,2.3,0.905,1.1,3.2,4.3,3,1.1,0.3,1.3,2.1,13.7,allengr01
8,Jarrett Allen,C,24,CLE,68,68,2220,6.5,10.2,0.644,0,0.2,0.1,6.5,10,0.653,2.6,3.6,0.733,3.6,7.2,10.8,1.8,0.9,1.4,1.5,2.5,15.7,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,1310,5.5,13.4,0.411,2.3,6.8,0.336,3.2,6.7,0.488,1.8,2.2,0.813,0.8,3.1,3.9,5.1,1.8,0.3,2.2,3.4,15.1,alvarjo01
10,Kyle Anderson,PF,29,MIN,69,46,1957,4.6,9.1,0.509,0.8,1.9,0.41,3.8,7.2,0.536,1.8,2.5,0.735,1.2,5.6,6.8,6.2,1.4,1.2,1.9,2.7,11.9,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,12.6,22.7,0.553,0.8,3,0.275,11.7,19.7,0.596,8.9,13.7,0.645,2.4,10.8,13.2,6.4,0.9,0.9,4.4,3.5,34.8,antetgi01
12,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,3.5,8,0.435,0,1.4,0,3.5,6.6,0.526,1.9,3.8,0.5,2.6,5.1,7.7,2.6,0.5,0.5,2.1,3.8,8.9,antetth01
13,Cole Anthony,PG,22,ORL,60,4,1552,6.4,14.1,0.454,1.7,4.8,0.364,4.7,9.4,0.5,3.5,3.9,0.894,1.1,5.6,6.7,5.5,0.9,0.7,2.1,3.7,18.1,anthoco01
14,OG Anunoby,SF,25,TOR,67,67,2386,6.4,13.4,0.476,2.1,5.5,0.387,4.2,7.8,0.539,2.1,2.5,0.838,1.4,3.6,5,2,1.9,0.8,2,3,17,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,20,4,172,1.9,7.7,0.243,1.7,4.8,0.348,0.2,2.9,0.071,0,0,,0,3.1,3.1,4.8,1,0,1.5,3.6,5.4,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1.4,6.9,0.2,1.4,4.2,0.333,0,2.8,0,0,0,,0,5.5,5.5,2.8,2.8,0,1.4,4.2,4.2,arcidry01
15,Ryan Arcidiacono,PG,28,POR,9,4,146,2,7.9,0.25,1.7,4.9,0.35,0.2,3,0.083,0,0,,0,2.7,2.7,5.2,0.7,0,1.5,3.5,5.7,arcidry01
16,Deni Avdija,SF,22,WAS,76,40,2020,4.5,10.3,0.437,1.2,4.1,0.297,3.3,6.2,0.53,2.2,2.9,0.739,1.3,7.4,8.7,3.8,1.2,0.5,2.2,3.7,12.4,avdijde01
17,Deandre Ayton,C,24,PHO,67,67,2035,9.2,15.7,0.589,0.1,0.4,0.292,9.1,15.3,0.597,2.7,3.5,0.76,3,8.8,11.8,2,0.7,0.9,2.1,3.4,21.3,aytonde01
18,Udoka Azubuike,C,23,UTA,36,4,359,5.9,7.2,0.819,0,0,,5.9,7.2,0.819,0.7,2,0.35,3.1,8.8,11.9,1.1,0.6,1.5,1.8,3.4,12.5,azubuud01
19,Marvin Bagley III,C,23,DET,42,25,990,7.3,13.9,0.529,0.7,2.4,0.288,6.7,11.5,0.579,2.9,3.9,0.75,3.4,6.4,9.8,1.3,0.7,1.1,1.7,2.9,18.3,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,6.8,17.4,0.394,5.1,13.4,0.381,1.8,4,0.44,0.6,1,0.667,0.2,6.2,6.4,1.8,1,0.6,1.8,2.2,19.4,baldwpa01
21,LaMelo Ball,PG,21,CHO,36,36,1268,8.4,20.5,0.411,4.1,10.9,0.376,4.3,9.6,0.45,2.9,3.5,0.836,1.2,5.4,6.6,8.6,1.3,0.3,3.7,3.4,23.8,ballla01
22,Mo Bamba,C,24,TOT,49,7,769,5.5,11.3,0.485,2.2,5.8,0.387,3.2,5.5,0.59,1.9,2.9,0.661,2.7,7.8,10.5,2.2,0.6,2,1.4,4.9,15.1,bambamo01
22,Mo Bamba,C,24,ORL,40,6,681,5.6,11.3,0.495,2.3,5.7,0.398,3.3,5.6,0.594,1.9,2.7,0.686,2.5,7.2,9.7,2.2,0.6,2,1.2,4.5,15.3,bambamo01
22,Mo Bamba,C,24,LAL,9,1,88,4.5,11,0.407,2,6.5,0.313,2.5,4.5,0.545,2.5,4.5,0.545,4.5,12.3,16.8,1.6,0.4,2,3.3,7.8,13.5,bambamo01
23,Paolo Banchero,PF,20,ORL,72,72,2430,7.1,16.6,0.427,1.3,4.2,0.298,5.8,12.4,0.471,5.8,7.9,0.738,1.2,6.1,7.4,4,0.9,0.6,3,2.4,21.3,banchpa01
24,Desmond Bane,SG,24,MEM,58,58,1841,8.8,18.4,0.479,3.2,8,0.408,5.6,10.4,0.534,3.5,4,0.883,0.8,4.8,5.7,5,1.1,0.4,2.5,2.9,24.4,banede01
25,Dalano Banton,PG,23,TOR,31,2,279,7.1,16.8,0.423,1.9,6.6,0.294,5.2,10.2,0.506,2.2,3.1,0.708,1.4,4.4,5.8,4.6,1.7,1.7,2.3,4.4,18.3,bantoda01
26,Dominick Barlow,PF,19,SAS,28,0,408,4.1,7.6,0.535,0,0.4,0,4.1,7.2,0.561,1.6,2.2,0.72,4.1,4.9,9,2.1,0.9,1.7,1.3,4.9,9.7,barlodo01
27,Harrison Barnes,PF,30,SAC,82,82,2662,5.1,10.7,0.473,1.8,4.8,0.374,3.3,5.9,0.553,4.7,5.6,0.847,1.2,3.8,4.9,1.7,0.8,0.1,1.2,1.4,16.6,barneha02
28,Scottie Barnes,SF,21,TOR,77,76,2678,6.2,13.7,0.456,0.8,3,0.281,5.4,10.6,0.505,2.6,3.3,0.772,2.4,4.5,6.9,5,1.1,0.8,2.1,2.3,15.8,barnesc01
29,RJ Barrett,SG,22,NYK,73,73,2475,7.4,17.1,0.434,1.8,5.7,0.31,5.7,11.4,0.495,4.2,5.7,0.74,0.9,4.5,5.4,2.9,0.5,0.2,2.4,2.6,20.8,barrerj01
30,Will Barton,SG,32,TOT,56,2,993,5,13.2,0.379,2.4,6.5,0.367,2.6,6.7,0.391,1.3,1.7,0.787,0.5,4.4,5,4.1,1,0.5,1.7,2,13.7,bartowi01
30,Will Barton,SG,32,WAS,40,0,782,5.1,13.1,0.386,2.4,6.4,0.377,2.7,6.8,0.395,1.6,2.1,0.778,0.5,4.6,5.1,4.4,0.8,0.5,2.1,1.8,14.1,bartowi01
30,Will Barton,SG,32,TOR,16,2,211,4.8,13.5,0.354,2.4,7.2,0.333,2.4,6.3,0.378,0.3,0.3,1,0.9,3.6,4.4,2.9,1.9,0.5,0.5,2.9,12.3,bartowi01
31,Charles Bassey,C,22,SAS,35,2,508,6.2,9.6,0.644,0.2,0.6,0.375,6,9,0.661,1.6,2.6,0.595,5.3,8.4,13.7,3.3,1.1,2.3,2.9,5.2,14.1,bassech01
32,Keita Bates-Diop,PF,27,SAS,67,42,1452,5.9,11.5,0.508,1.4,3.5,0.394,4.5,8,0.557,3,3.7,0.793,1.6,4.5,6.1,2.6,1.1,0.5,1.4,1.6,16,bateske01
33,Nicolas Batum,PF,34,LAC,78,19,1709,3.4,8,0.42,2.6,6.7,0.391,0.8,1.3,0.563,0.7,1,0.708,1.3,5,6.3,2.5,1.1,0.9,1.1,3.1,10.1,batumni01
34,Darius Bazley,C,22,TOT,43,1,616,4.9,10.7,0.454,1.2,3.1,0.377,3.7,7.6,0.485,2.2,4.1,0.543,2,6.1,8.1,2.2,1.3,2,1.6,2.6,13.1,bazleda01
34,Darius Bazley,C,22,OKC,36,1,555,4.6,10.2,0.449,1.2,2.9,0.4,3.4,7.3,0.469,2.3,4.2,0.554,1.9,6,7.9,2.1,1.2,1.9,1.4,2.3,12.7,bazleda01
34,Darius Bazley,C,22,PHO,7,0,61,7.1,14.8,0.48,1.2,4.7,0.25,5.9,10,0.588,1.2,3,0.4,3,6.5,9.4,3.5,1.8,3,3,5.3,16.5,bazleda01
35,Bradley Beal,SG,29,WAS,50,50,1673,9.6,18.9,0.506,1.7,4.7,0.365,7.8,14.2,0.552,4.1,4.9,0.842,0.9,3.3,4.2,5.8,1,0.7,3.1,2.3,25,bealbr01
36,Malik Beasley,SG,26,TOT,81,27,2093,6.4,16.1,0.395,4,11.3,0.357,2.3,4.8,0.484,0.9,1.1,0.769,0.6,4.3,4.9,2.1,1.1,0.2,1.5,1.8,17.6,beaslma01
36,Malik Beasley,SG,26,UTA,55,13,1472,6.5,16.4,0.396,4.1,11.5,0.359,2.3,4.8,0.485,0.9,1.1,0.841,0.7,4.2,4.8,2.3,1.1,0.2,1.5,1.8,18,beaslma01
36,Malik Beasley,SG,26,LAL,26,14,621,6.1,15.5,0.392,3.8,10.8,0.353,2.3,4.7,0.481,0.8,1.2,0.619,0.5,4.5,5,1.8,1.2,0.1,1.7,1.9,16.8,beaslma01
37,MarJon Beauchamp,SF,22,MIL,52,11,701,4.9,12.5,0.395,2.4,7.3,0.331,2.5,5.2,0.485,1.4,1.9,0.73,2,4,5.9,1.8,1.1,0.4,2.3,3.6,13.7,beaucma01
38,D?vis Bert?ns,PF,30,DAL,45,1,492,5,11.7,0.431,4,10.3,0.39,1,1.4,0.737,1,1.1,0.867,0.7,3.1,3.9,1.5,0.8,0.6,0.7,3.9,15.1,bertada01
39,Patrick Beverley,SG-PG,34,TOT,67,67,1816,2.9,7.1,0.4,1.6,4.7,0.335,1.3,2.4,0.529,0.9,1.3,0.723,0.9,4,4.9,3.8,1.2,0.8,1.2,3.7,8.2,beverpa01
39,Patrick Beverley,SG,34,LAL,45,45,1211,2.9,7.2,0.402,1.6,4.7,0.348,1.2,2.5,0.506,1.2,1.5,0.78,0.7,3.4,4.2,3.5,1.2,0.7,1.2,3.7,8.6,beverpa01
39,Patrick Beverley,PG,34,CHI,22,22,605,2.8,7.1,0.395,1.5,4.8,0.309,1.3,2.3,0.579,0.5,0.9,0.533,1.2,5.2,6.4,4.5,1.4,1,1.1,3.7,7.6,beverpa01
40,Saddiq Bey,SF,23,TOT,77,37,2129,6,14.1,0.422,2.6,7.1,0.361,3.4,7.1,0.483,3.5,4,0.861,1.7,4.5,6.1,2,1.2,0.2,1.2,2.1,18,beysa01
40,Saddiq Bey,SF,23,DET,52,30,1500,5.9,14.5,0.404,2.4,7,0.345,3.5,7.5,0.46,4.3,5,0.861,1.4,4.4,5.8,2,1.2,0.3,1.3,2.1,18.5,beysa01
40,Saddiq Bey,SF,23,ATL,25,7,629,6.2,13.2,0.47,2.9,7.2,0.4,3.3,6,0.552,1.4,1.7,0.862,2.2,4.6,6.9,1.9,1.1,0.1,1,2.1,16.7,beysa01
41,Khem Birch,C,30,TOR,20,0,162,4.2,7.1,0.594,0.2,0.4,0.5,4,6.7,0.6,0.9,1.1,0.8,1.8,3.8,5.6,1.6,1.1,1.1,1.8,5.3,9.6,birchkh01
42,Goga Bitadze,C,23,TOT,38,1,457,5.4,9.8,0.552,0.5,2,0.231,5,7.8,0.636,1.8,3.3,0.548,4.8,6,10.8,3.1,1.3,2,1.7,5,13.2,bitadgo01
42,Goga Bitadze,C,23,IND,21,0,202,4.8,9.3,0.519,0.7,2.5,0.286,4.1,6.8,0.605,2,4.3,0.458,4.5,4.3,8.7,3.2,1.6,1.8,2.1,6.1,12.3,bitadgo01
42,Goga Bitadze,C,23,ORL,17,1,255,5.9,10.3,0.575,0.3,1.7,0.167,5.6,8.6,0.656,1.7,2.5,0.667,5.1,7.3,12.4,3,1,2.3,1.4,4.2,13.8,bitadgo01
43,Bismack Biyombo,C,30,PHO,61,14,874,4.9,8.5,0.578,0,0,,4.9,8.5,0.578,1,2.9,0.357,3.7,7,10.7,2.3,0.7,3.6,2.1,4.7,10.8,biyombi01
44,Buddy Boeheim,SF,23,DET,10,0,90,2,10.8,0.185,1.6,10,0.16,0.4,0.8,0.5,0.8,0.8,1,0.8,1.6,2.4,1.6,0.8,0,0,2.4,6.4,boehebu01
45,Bogdan Bogdanovi?,SG,30,ATL,54,9,1508,6.5,14.6,0.447,3.5,8.6,0.406,3,6,0.506,1.5,1.8,0.831,0.5,3.4,3.9,3.6,1,0.4,1.6,2.1,18,bogdabo01
46,Bojan Bogdanovi?,PF,33,DET,59,59,1893,8.2,16.8,0.488,2.8,6.7,0.411,5.4,10.1,0.539,5.1,5.8,0.884,0.7,3.6,4.2,2.9,0.6,0.2,2.6,2.1,24.2,bogdabo02
47,Bol Bol,PF,23,ORL,70,33,1505,6.2,11.4,0.546,0.7,2.7,0.265,5.5,8.7,0.633,2,2.6,0.759,1.7,8,9.7,1.7,0.7,2,2.7,2.2,15.2,bolbo01
48,Leandro Bolmaro,SF,22,UTA,14,0,68,1.6,10.6,0.15,0,2.1,0,1.6,8.5,0.188,0,0,,2.1,1.6,3.7,3.7,1.6,0.5,3.7,5.3,3.2,bolmale01
49,Devin Booker,SG,26,PHO,53,53,1835,10.3,20.9,0.494,2.2,6.2,0.351,8.2,14.7,0.554,6,7,0.855,0.9,3.8,4.7,5.7,1,0.4,2.8,3.1,28.9,bookede01
50,Brandon Boston Jr.,SF,21,LAC,22,1,248,7.4,17.7,0.418,1.7,4.2,0.414,5.7,13.5,0.419,4.2,5.5,0.763,1,3.3,4.4,2.9,1.3,0,1.7,3,20.8,bostobr01
51,Chris Boucher,PF,30,TOR,76,0,1523,6.2,12.5,0.493,1.5,4.5,0.328,4.7,8,0.585,3,4,0.762,3.7,6.2,10,0.7,1.1,1.5,1,3.4,16.8,bouchch01
52,James Bouknight,SG,22,CHO,34,0,515,4.8,13.5,0.358,2.3,7.6,0.303,2.5,5.9,0.429,1.4,2.1,0.667,0.6,4.5,5,2.9,1,0.3,2.2,3.4,13.4,bouknja01
53,Jamaree Bouyea,PG,23,TOT,5,0,71,3,7.1,0.429,1,3,0.333,2,4.1,0.5,0.5,1,0.5,0.5,2.5,3,2,2,1,2,3,7.6,bouyeja01
53,Jamaree Bouyea,PG,23,MIA,4,0,65,3.3,7.2,0.462,1.1,2.8,0.4,2.2,4.4,0.5,0.6,1.1,0.5,0.6,2.2,2.8,2.2,2.2,1.1,2.2,2.8,8.3,bouyeja01
53,Jamaree Bouyea,PG,23,WAS,1,0,6,0,6,0,0,6,0,0,0,,0,0,,0,6,6,0,0,0,0,6,0,bouyeja01
54,Tony Bradley,C,25,CHI,12,0,33,6.5,13.1,0.5,3.3,5.5,0.6,3.3,7.6,0.429,4.4,4.4,1,1.1,10.9,12,1.1,1.1,1.1,1.1,2.2,20.7,bradlto01
55,Malaki Branham,SG,19,SAS,66,32,1550,6.2,14.2,0.44,1.8,5.9,0.302,4.5,8.3,0.539,1.3,1.6,0.829,0.7,3.6,4.2,2.9,0.8,0.2,1.8,2.7,15.6,branhma01
56,Jarrell Brantley,PF,26,UTA,4,0,39,7.4,12.9,0.571,3.7,8.3,0.444,3.7,4.6,0.8,1.8,1.8,1,0.9,4.6,5.5,2.8,0,1.8,1.8,2.8,20.3,brantja01
57,Christian Braun,SG,21,DEN,76,6,1181,4.4,8.8,0.495,1,2.9,0.354,3.3,5.9,0.565,1.2,2,0.625,1.5,4.1,5.5,1.8,1.2,0.5,1.1,3.1,11,braunch01
58,Mikal Bridges,SF-SG,26,TOT,83,83,2963,7.2,15.4,0.468,2.1,5.4,0.382,5.2,10,0.514,3.8,4.3,0.895,1,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,bridgmi01
58,Mikal Bridges,SF,26,PHO,56,56,2040,6.2,13.5,0.463,1.8,4.6,0.387,4.5,8.9,0.503,2.8,3.1,0.897,1,3.3,4.3,3.5,1.1,0.8,1.4,2,17,bridgmi01
58,Mikal Bridges,SG,26,BRK,27,27,923,9.3,19.6,0.475,2.7,7.1,0.376,6.7,12.6,0.531,6.2,7,0.894,0.9,3.8,4.7,2.8,1,0.6,1.9,1.7,27.5,bridgmi01
59,Oshae Brissett,PF,24,IND,65,2,1083,4.1,10.6,0.386,1.6,5.2,0.31,2.5,5.5,0.457,3.5,4.8,0.717,2.1,5.2,7.2,1.5,1.1,0.4,1.1,2.6,13.2,brissos01
60,Malcolm Brogdon,PG,30,BOS,67,0,1744,7.3,15.1,0.484,2.7,6.1,0.444,4.6,9,0.51,3.3,3.8,0.87,0.9,4.9,5.8,5.1,0.9,0.4,2,2.3,20.6,brogdma01
61,Dillon Brooks,SF,27,MEM,73,73,2214,6.4,16.1,0.396,2.3,7.1,0.326,4,9,0.451,2,2.5,0.779,0.7,3.2,4,3.1,1.1,0.3,1.7,3.9,17,brookdi01
62,Bruce Brown,SF,26,DEN,80,31,2280,5.7,11.7,0.483,1.4,4,0.358,4.2,7.7,0.548,1.8,2.4,0.758,1,4.2,5.2,4.2,1.4,0.8,1.9,3,14.6,brownbr01
63,Greg Brown III,PF,21,POR,16,0,93,4.3,10.8,0.393,0.4,2.7,0.143,3.9,8.1,0.476,1.9,4.6,0.417,0.8,6.6,7.4,1.2,1.5,1.9,2.3,5,10.8,browngr01
64,Jaylen Brown,SF,26,BOS,67,67,2405,10.2,20.7,0.491,2.4,7.3,0.335,7.7,13.4,0.576,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.7,brownja02
65,Kendall Brown,SG,19,IND,6,0,40,3.6,6.3,0.571,0,0.9,0,3.6,5.4,0.667,0.9,1.8,0.5,1.8,3.6,5.4,2.7,3.6,0,1.8,8.1,8.1,brownke03
66,Moses Brown,C,23,TOT,36,1,294,7.5,11.8,0.635,0,0,,7.5,11.8,0.635,4,8.8,0.458,7,10,17,0.5,0.5,1.7,1.8,4.8,19,brownmo01
66,Moses Brown,C,23,LAC,34,1,288,7.6,12,0.635,0,0,,7.6,12,0.635,4.1,9,0.458,7.1,10.2,17.4,0.5,0.4,1.7,1.7,4.7,19.4,brownmo01
66,Moses Brown,C,23,BRK,2,0,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,6,0,6,6,0,brownmo01
67,Sterling Brown,SF,27,LAL,4,0,24,0,6,0,0,3,0,0,3,0,0,0,,4.5,7.5,12,3,4.5,0,0,6,0,brownst02
68,Troy Brown Jr.,SF,23,LAL,76,45,1860,3.9,9,0.43,2.1,5.4,0.381,1.8,3.6,0.505,0.7,0.8,0.872,1.2,4.8,6,1.8,1.1,0.3,0.9,2.3,10.5,browntr01
69,Jalen Brunson,PG,26,NYK,68,68,2379,8.9,18.1,0.491,2,4.9,0.416,6.9,13.2,0.519,4.9,5.9,0.829,0.6,3,3.6,6.4,0.9,0.2,2.1,2.3,24.7,brunsja01
70,Thomas Bryant,C,25,TOT,59,26,1081,7.7,12.3,0.623,0.9,2,0.441,6.8,10.3,0.658,3.1,4.2,0.738,2.9,8.4,11.3,1,0.5,1,1.3,3.4,19.3,bryanth01
70,Thomas Bryant,C,25,LAL,41,25,876,8.1,12.4,0.654,0.9,2.1,0.44,7.2,10.3,0.697,3.3,4.4,0.741,2.8,8.7,11.5,1.2,0.6,0.9,1.2,3.2,20.4,bryanth01
70,Thomas Bryant,C,25,DEN,18,1,205,5.8,11.9,0.485,0.7,1.6,0.444,5.1,10.4,0.492,2.3,3.2,0.722,3.3,7.2,10.5,0.4,0.4,1.2,1.8,4.4,14.6,bryanth01
71,Reggie Bullock,SF,31,DAL,78,55,2364,2.9,7.2,0.409,2.3,6,0.38,0.6,1.1,0.562,0.4,0.6,0.703,0.5,3.8,4.3,1.6,0.8,0.2,0.5,2.5,8.5,bullore01
72,Alec Burks,SG,31,DET,51,8,1122,6.4,14.7,0.436,3.2,7.7,0.414,3.2,7.1,0.459,4.9,6,0.814,0.6,4.5,5.1,3.7,1.2,0.3,1.9,3.1,20.9,burksal01
73,Deonte Burton,PF,29,SAC,2,0,6,0,12,0,0,6,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,burtode02
74,Jared Butler,PG,22,OKC,6,1,77,7,15,0.469,3.3,6.5,0.5,3.7,8.4,0.444,0,0,,0.5,1.4,1.9,3.7,2.3,0,2.3,2.3,17.3,butleja02
75,Jimmy Butler,PF,33,MIA,64,64,2138,8.1,15,0.539,0.6,1.7,0.35,7.5,13.2,0.564,7.9,9.3,0.85,2.4,3.9,6.3,5.7,2,0.4,1.7,1.3,24.7,butleji01
76,John Butler,C,20,POR,19,1,221,2.8,8.6,0.321,1.3,5.7,0.229,1.5,2.9,0.5,0.5,0.7,0.75,0.5,2.3,2.8,1.8,1.1,1.5,0.2,3.6,7.3,butlejo01
77,Jamal Cain,PF,23,MIA,18,0,240,5.5,9.9,0.561,1,3,0.35,4.5,6.9,0.652,2.5,3.3,0.773,2.3,5.5,7.8,1.8,1.6,0.1,0.9,3.2,14.7,cainja01
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,2381,4.4,9.6,0.462,2,4.8,0.423,2.4,4.7,0.502,1.6,1.9,0.824,0.5,2.6,3.1,2.8,1.7,0.5,1.3,2.2,12.4,caldwke01
79,Facundo Campazzo,PG,31,DAL,8,0,52,2.1,9,0.231,2.1,7.6,0.273,0,1.4,0,0.7,1.4,0.5,0,1.4,1.4,6.2,4.2,0,2.1,2.1,6.9,campafa01
80,Vlatko ?an?ar,PF,25,DEN,60,9,889,4.4,9.2,0.476,1.7,4.7,0.374,2.6,4.5,0.58,1.5,1.7,0.927,1,4.2,5.2,3.2,0.9,0.6,1.5,3.4,12,cancavl01
81,Clint Capela,C,28,ATL,65,63,1730,7.3,11.2,0.653,0,0,0,7.3,11.1,0.654,1.6,2.7,0.603,5.4,9.6,14.9,1.2,0.9,1.6,1.1,2.9,16.2,capelca01
82,Vernon Carey Jr.,C,21,WAS,11,0,28,2.6,10.3,0.25,0,0,,2.6,10.3,0.25,2.6,2.6,1,3.9,10.3,14.1,3.9,2.6,2.6,2.6,6.4,7.7,careyve01
83,Jevon Carter,PG,27,MIL,81,39,1810,4.8,11.2,0.423,2.8,6.7,0.421,1.9,4.5,0.425,0.6,0.8,0.816,0.7,3.3,4,3.9,1.3,0.6,1.6,3.1,12.9,carteje01
84,Wendell Carter Jr.,C,23,ORL,57,54,1690,6.9,13.1,0.525,1.7,4.8,0.356,5.2,8.3,0.624,3.1,4.2,0.738,2.6,8,10.6,2.8,0.6,0.7,2.3,3.4,18.5,cartewe01
85,Michael Carter-Williams,PG,31,ORL,4,0,44,4.9,11.5,0.429,0.8,2.5,0.333,4.1,9,0.455,3.3,5.7,0.571,0.8,3.3,4.1,5.7,0.8,0.8,3.3,4.1,13.9,cartemi01
86,Alex Caruso,PG,28,CHI,67,36,1575,3,6.5,0.455,1.3,3.5,0.364,1.7,3.1,0.556,1.3,1.7,0.808,1,3.5,4.5,4.4,2.2,1.1,1.8,3.6,8.5,carusal01
87,Julian Champagnie,SF,21,TOT,17,3,320,6.6,14.6,0.454,3.7,9.2,0.402,2.9,5.4,0.542,1.6,1.9,0.824,1.1,5.6,6.8,1.1,0.7,0.6,1.2,2.9,18.6,champju02
